data_len,rt
235,7329.822144
735,33047.09766
1235,51359.37344
1735,44204.94004
2235,58193.75215
2735,68134.86973
3235,72831.17676
3735,72240.14023
4235,63003.11641
4735,52314.15
5235,52443.08418
5735,47534.86055
6235,52874.33203
6735,52127.50898
7235,65223.38066
7735,87356.27578
8235,54066.42852
8735,68575.0957
9235,79922.16563
9735,72265.38555
10235,65109.14727
10735,62700.41563
11235,83470.7207
11735,75487.46602
12235,80074.80234
12735,97372.16992
13235,73825.68555
13735,89822.4668
14235,90545.11523
14735,96774.24414
15235,89823.73438
15735,104527.3773
16235,90688.67227
16735,88130.61328
17235,68727.65391
17735,136029.0758
18235,71412.07656
18735,100485.607
19235,74212.77969
19735,71912.13125
20235,88701.38555
20735,89291.95078
21235,87137.39922
21735,83609.8707
22235,85273.02969
22735,115454.7234
23235,102710.4332
23735,102907.2102
24235,123735.3656
24735,108842.3984
25235,119395.4914
25735,129902.1719
26235,105649.7016
26735,120172.875
27235,126591.6039
27735,109518.9453
28235,102702.5109
28735,96100.75938
29235,88044.12969
29735,109659.4527
30235,109574.5547
30735,109735.4281
31235,102347.7352
31735,122023.3055
32235,115086.582
32735,175849.6281
33235,155148.8727
33735,141684.4281
34235,112567.3906
34735,110602.518
35235,101123.4883
35735,107023.0859
36235,106040.4008
36735,117846.282
37235,116216.9703
37735,112860.4414
38235,103407.4063
38735,110780.5703
39235,107888.532
39735,105567.9391
40235,123301.6313
40735,132834.2328
41235,128390.6758
41735,125895.6797
42235,113854.0422
42735,128008.4719
43235,116745.5172
43735,116247.3422
44235,114079.9773
44735,118405.8109
45235,118780.7742
45735,126420.8188
46235,134236.6859
46735,118844.8617
47235,118485.768
47735,116218.5711
48235,122504.9094
48735,113067.5938
49235,120130.0297
49735,128060.6172
