data_len,ti
235, 7.000
735, 1.078
1235, 0.945
1735, 0.828
2235, 0.714
2735, 0.541
3235, 0.624
3735, 0.715
4235, 0.715
4735, 0.767
5235, 0.601
5735, 0.391
6235, 0.545
6735, 0.306
7235, 0.407
7735, 0.257
8235, 0.533
8735, 0.205
9235, 0.406
9735, 0.682
10235, 0.598
10735, 0.569
11235, 0.658
11735, 0.241
12235, 0.569
12735, 0.551
13235, 0.441
13735, 0.554
14235, 0.563
14735, 0.557
15235, 0.369
15735, 0.474
16235, 0.382
16735, 0.210
17235, 0.386
17735, 0.268
18235, 0.441
18735, 0.486
19235, 0.443
19735, 0.308
20235, 0.214
20735, 0.376
21235, 0.302
21735, 0.241
22235, 0.295
22735, 0.230
23235, 0.265
23735, 0.289
24235, 0.193
24735, 0.316
25235, 0.160
25735, 0.195
26235, 0.180
26735, 0.395
27235, 0.403
27735, 0.392
28235, 0.250
28735, 0.362
29235, 0.361
29735, 0.394
30235, 0.283
30735, 0.293
31235, 0.295
31735, 0.300
32235, 0.288
32735, 0.156
33235, 0.281
33735, 0.279
34235, 0.297
34735, 0.265
35235, 0.298
35735, 0.295
36235, 0.284
36735, 0.301
37235, 0.279
37735, 0.310
38235, 0.303
38735, 0.302
39235, 0.293
39735, 0.196
40235, 0.302
40735, 0.296
41235, 0.328
41735, 0.317
42235, 0.320
42735, 0.325
43235, 0.323
43735, 0.344
44235, 0.267
44735, 0.233
45235, 0.324
45735, 0.320
46235, 0.327
46735, 0.323
47235, 0.313
47735, 0.331
48235, 0.326
48735, 0.331
49235, 0.279
49735, 0.289
