error_p,ti
0, 1.199
1, 1.286
2, 1.441
3, 2.030
4, 1.052
5, 3.614
6, 3.035
7, 3.600
8, 2.975
9, 2.699
10, 2.657
11, 3.059
12, 2.438
13, 3.167
14, 3.866
15, 4.033
16, 4.787
17, 4.087
18, 4.227
19, 4.491
20, 4.760
21, 4.464
22, 3.917
23, 4.738
24, 4.939
25, 4.411
26, 4.472
27, 2.982
28, 3.665
29, 3.956
30, 2.825
31, 2.924
32, 3.166
33, 4.223
34, 4.601
35, 4.668
36, 5.337
37, 4.563
38, 3.375
39, 3.339
40, 3.191
41, 3.345
42, 3.080
43, 5.076
44, 5.252
45, 6.478
46, 2.594
47, 3.950
48, 3.985
49, 3.965
50, 4.003
51, 3.901
52, 4.815
53, 3.996
54, 7.366
55, 3.731
56, 2.942
57, 3.259
58, 2.909
59, 5.072
60, 5.034
61, 4.957
62, 5.129
63, 4.904
64, 2.619
65, 1.682
66, 1.680
67, 4.943
68, 2.751
69, 1.823
70, 2.414
71, 2.612
72, 1.939
73, 2.378
74, 2.163
75, 12.016
76, 13.147
77, 5.778
78, 4.582
79, 5.687
80, 5.079
81, 4.860
82, 6.548
83, 7.494
84, 8.027
85, 9.555
86, 20.572
87, 18.582
88, 15.857
89, 14.304
90, 13.822
91, 15.762
92, 16.603
93, 18.265
94, 23.897
95, 28.434
96, 29.490
97, 48.117
98, 44.432
99, 69.464
